VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJYGDEE1M,Yakima,Mabton,WA,98935,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,138719052,POINT (-119.996825 46.21362),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,53077002701
5YJ3E1EA2M,Yakima,Mabton,WA,98935,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,176446350,POINT (-119.996825 46.21362),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,53077002701
2C4RC1S75P,Yakima,Mabton,WA,98935,2023,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,15,251702517,POINT (-119.996825 46.21362),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,53077002701
5YJ3E1EA4J,Yakima,Mabton,WA,98935,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,15,118254174,POINT (-119.996825 46.21362),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,53077002701
5YJ3E1EA9L,Yakima,Mabton,WA,98935,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,15,253455940,POINT (-119.996825 46.21362),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,53077002701
5YJ3E1EB4L,Yakima,Mabton,WA,98935,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,15,110992108,POINT (-119.996825 46.21362),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,53077002701
3FA6P0PU2G,Yakima,Mabton,WA,98935,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,15,132193792,POINT (-119.996825 46.21362),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,53077002701
5YJ3E1EB2K,Yakima,Mabton,WA,98935,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,15,238526053,POINT (-119.996825 46.21362),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,53077002701
2C4RC1N74M,Yakima,Mabton,WA,98935,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,15,227241773,POINT (-119.996825 46.21362),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,53077001802
1FMCU0EZXN,Yakima,Moxee,WA,98936,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,15,197264322,POINT (-120.3795117 46.55609),PACIFICORP,53077001702
3FA6P0SU0E,Yakima,Moxee,WA,98936,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,15,195513447,POINT (-120.3795117 46.55609),PACIFICORP,53077001702
KNDJX3AEXH,Yakima,Moxee,WA,98936,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,15,244989629,POINT (-120.3795117 46.55609),PACIFICORP,53077001702
JTDKN3DP0F,Yakima,Moxee,WA,98936,2015,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,15,132420991,POINT (-120.3795117 46.55609),PACIFICORP,53077001702
5YJ3E1EC5P,Yakima,Moxee,WA,98936,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,224328632,POINT (-120.3795117 46.55609),PACIFICORP,53077001702
5YJ3E1EC0N,Yakima,Moxee,WA,98936,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,203106606,POINT (-120.3795117 46.55609),PACIFICORP,53077001702
5YJ3E1EA4L,Yakima,Moxee,WA,98936,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,15,106947732,POINT (-120.3795117 46.55609),PACIFICORP,53077001702
5YJ3E1EA5N,Yakima,Moxee,WA,98936,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,194061703,POINT (-120.3795117 46.55609),PACIFICORP,53077001702
1G1RA6E4XC,Yakima,Moxee,WA,98936,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,15,238951807,POINT (-120.3795117 46.55609),PACIFICORP,53077001702
