VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EC3N,Yakima,Sunnyside,WA,98944,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,218365899,POINT (-120.011515 46.32189),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,53077002003
5YJ3E1EA0N,Whitman,St John,WA,99171,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,9,218177851,POINT (-117.582395 47.08821),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53075000900
5YJ3E1EA2P,Whitman,St John,WA,99171,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,9,219797196,POINT (-117.582395 47.08821),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53075000900
1N4AZ0CP5F,Whatcom,Sumas,WA,98295,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,42,125584203,POINT (-122.26024 48.99634),CITY OF SUMAS - (WA)||PUD NO 1 OF WHATCOM COUNTY,53073010202
JA3215H41E,Whatcom,Sumas,WA,98295,2014,MITSUBISHI,I-MIEV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,62,0,42,125417813,POINT (-122.26024 48.99634),CITY OF SUMAS - (WA)||PUD NO 1 OF WHATCOM COUNTY,53073010202
3FMTK3SUXP,Whatcom,Sumas,WA,98295,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,250977646,POINT (-122.26024 48.99634),CITY OF SUMAS - (WA)||PUD NO 1 OF WHATCOM COUNTY,53073010202
1G1RC6S54G,Whatcom,Sumas,WA,98295,2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,42,202196557,POINT (-122.26024 48.99634),CITY OF SUMAS - (WA)||PUD NO 1 OF WHATCOM COUNTY,53073010202
JTMAB3FV4M,Whatcom,Sumas,WA,98295,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,42,177562976,POINT (-122.26024 48.99634),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010202
1G1FW6S02J,Whatcom,Sumas,WA,98295,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,42,304338240,POINT (-122.26024 48.99634),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010202
5YJYGDEE3M,Whatcom,Sumas,WA,98295,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,142090539,POINT (-122.26024 48.99634),CITY OF SUMAS - (WA)||PUD NO 1 OF WHATCOM COUNTY,53073010202
