VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5UXKT0C59G,Yakima,Granger,WA,98932,2016,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,15,170545819,POINT (-120.1934 46.345135),BONNEVILLE POWER ADMINISTRATION||BENTON RURAL ELECTRIC ASSN,53077940003
5YJSA1E65N,Yakima,Granger,WA,98932,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,187279214,POINT (-120.1934 46.345135),PACIFICORP,53077002104
1C4JJXP66M,Yakima,Granger,WA,98932,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,15,166803024,POINT (-120.1934 46.345135),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,53077002104
5YJ3E1EA3L,Yakima,Granger,WA,98932,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,15,132359636,POINT (-120.1934 46.345135),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,53077002104
7SAYGDEE7N,Yakima,Granger,WA,98932,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,203202499,POINT (-120.1934 46.345135),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,53077002103
1G1FX6S02H,Yakima,Granger,WA,98932,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,15,196396938,POINT (-120.1934 46.345135),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,53077002103
JTDKARFP8L,Yakima,Grandview,WA,98930,2020,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,15,252347294,POINT (-119.91556 46.249215),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,53077001902
7SAYGDEE1P,Yakima,Grandview,WA,98930,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,227387310,POINT (-119.91556 46.249215),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,53077001902
5YJ3E1EBXL,Yakima,Grandview,WA,98930,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,15,113473496,POINT (-119.91556 46.249215),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,53077001902
JTDKARFP8J,Yakima,Grandview,WA,98930,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,15,148528915,POINT (-119.91556 46.249215),BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,53077001902
