VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
WB523CF01N,Sheridan,Sheridan,WY,82801,2022,BMW,IX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,,205813730,POINT (-106.9536599 44.7936462),NON WASHINGTON STATE ELECTRIC UTILITY,56033000100
1N4AZ0CP7D,Yakima,Wapato,WA,98951,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,15,211150110,POINT (-120.421245 46.44554),PACIFICORP,53077940007
JTMAB3FV4P,Yakima,Wapato,WA,98951,2023,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,14,249974035,POINT (-120.421245 46.44554),PACIFICORP,53077940007
7SAYGDEE2P,Yakima,Wapato,WA,98951,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,241304430,POINT (-120.421245 46.44554),PACIFICORP,53077940007
5YJSA1E57M,Yakima,Wapato,WA,98951,2021,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,175520425,POINT (-120.421245 46.44554),PACIFICORP,53077940007
5YJ3E1EB5N,Yakima,Wapato,WA,98951,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,207677991,POINT (-120.421245 46.44554),PACIFICORP,53077940003
3FA6P0PU0G,Yakima,White Swan,WA,98952,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,14,348077271,POINT (-120.72956 46.377845),PACIFICORP,53077940003
7SAYGAEE5N,Yakima,Yakima,WA,98903,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,207560797,POINT (-120.477805 46.553505),PACIFICORP,53077940003
1G1RD6S55G,Yakima,Yakima,WA,98903,2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,15,192531888,POINT (-120.477805 46.553505),PACIFICORP,53077940003
7SAYGDEFXP,Yakima,Yakima,WA,98903,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,251636871,POINT (-120.477805 46.553505),PACIFICORP,53077940003
