VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1N4AZ0CP4D,Yakima,Toppenish,WA,98948,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,15,133798493,POINT (-120.31287 46.37534),PACIFICORP,53077940006
JTDKARFP1J,Yakima,Toppenish,WA,98948,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,15,187377410,POINT (-120.31287 46.37534),PACIFICORP,53077940006
5YJSA1E20J,Yakima,Toppenish,WA,98948,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,15,238596690,POINT (-120.31287 46.37534),PACIFICORP,53077940005
7SAYGAEE6P,Yakima,Toppenish,WA,98948,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,254489945,POINT (-120.31287 46.37534),PACIFICORP,53077940005
WP1AE2AY9K,Yakima,Union Gap,WA,98903,2019,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13,0,15,220725697,POINT (-120.477805 46.553505),PACIFICORP,53077940003
1FADP5CU3G,Yakima,Toppenish,WA,98948,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,14,117467724,POINT (-120.31287 46.37534),PACIFICORP,53077940002
5YJ3E1EC9P,Yakima,Toppenish,WA,98948,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,233320664,POINT (-120.31287 46.37534),PACIFICORP,53077940002
1N4AZ0CP3D,Yakima,Toppenish,WA,98948,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,14,231866015,POINT (-120.31287 46.37534),PACIFICORP,53077940002
WA16ABGE7R,Yakima,Toppenish,WA,98948,2024,AUDI,Q8,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,253945807,POINT (-120.31287 46.37534),PACIFICORP,53077940002
1G1FX6S0XH,Yakima,Toppenish,WA,98948,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,14,136930489,POINT (-120.31287 46.37534),PACIFICORP,53077940002
5YJ3E1EC6P,Yakima,Toppenish,WA,98948,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,253175933,POINT (-120.31287 46.37534),PACIFICORP,53077940002
1G1FY6S06N,Yakima,Tieton,WA,98947,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,208932349,POINT (-120.75692 46.70383),PACIFICORP,53077002900
WVWKP7AU6G,Yakima,Tieton,WA,98947,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83,0,14,477758340,POINT (-120.75692 46.70383),PACIFICORP,53077002900
WMEEJ9AA6F,Yakima,Tieton,WA,98947,2015,SMART,FORTWO ELECTRIC DRIVE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,68,0,14,475095127,POINT (-120.75692 46.70383),PACIFICORP,53077002900
1N4AZ0CPXG,Yakima,Tieton,WA,98947,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,14,238752748,POINT (-120.75692 46.70383),PACIFICORP,53077002900
W1N9M0KB3P,Yakima,Tieton,WA,98947,2023,MERCEDES-BENZ,EQB-CLASS,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,251451861,POINT (-120.75692 46.70383),PACIFICORP,53077002900
5YJSA1E25M,Yakima,Tieton,WA,98947,2021,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,139893757,POINT (-120.75692 46.70383),PACIFICORP,53077002900
5YJ3E1EA7K,Yakima,Tieton,WA,98947,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,14,476682475,POINT (-120.75692 46.70383),PACIFICORP,53077002900
