VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1N4AZ0CP0F,Whitman,Endicott,WA,99125,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,9,256450176,POINT (-117.68591 46.929075),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53075000900
3FA6P0SU8L,Whitman,Endicott,WA,99125,2020,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,9,103048074,POINT (-117.68591 46.929075),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53075000900
JTDKARFP2J,Whitman,Garfield,WA,99130,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,9,476093621,POINT (-117.14329 47.00897),AVISTA CORP,53075000700
3FMTK4SE4P,Whitman,Garfield,WA,99130,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,9,245607568,POINT (-117.14329 47.00897),AVISTA CORP,53075000700
KNDRMDLH8N,Whitman,Garfield,WA,99130,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,9,185526330,POINT (-117.14329 47.00897),AVISTA CORP,53075000700
5YJSA1S25F,Whitman,Garfield,WA,99130,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,9,129152894,POINT (-117.14329 47.00897),AVISTA CORP,53075000700
1G1FX6S03H,Whitman,Garfield,WA,99130,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,9,349620715,POINT (-117.14329 47.00897),AVISTA CORP,53075000700
1N4AZ0CP6F,Whatcom,Ferndale,WA,98248,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,42,201537101,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
JN1AZ0CP9C,Whatcom,Ferndale,WA,98248,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,42,158859774,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
JN1AZ0CP3B,Whatcom,Ferndale,WA,98248,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,42,150072471,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
5YJSA1E26G,Whatcom,Ferndale,WA,98248,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,42,114458235,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
KNAGV4LD8H,Whatcom,Ferndale,WA,98248,2017,KIA,OPTIMA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,29,0,42,318830578,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
5YJYGDEE4M,Whatcom,Ferndale,WA,98248,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,143068474,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
1C4JJXN60P,Whatcom,Ferndale,WA,98248,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,42,241661780,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
1G1RA6E41D,Whatcom,Ferndale,WA,98248,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,42,223625048,POINT (-122.6011039 48.85324),PUD NO 1 OF WHATCOM COUNTY,53073940001
7SAYGDEE7P,Whatcom,Ferndale,WA,98248,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,245305749,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
1V2WNPE80P,Whatcom,Ferndale,WA,98248,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,240716423,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
5YJYGDEE9M,Whatcom,Ferndale,WA,98248,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,171238763,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
5YJ3E1EB9N,Whatcom,Ferndale,WA,98248,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,186996232,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
1G1RD6E43C,Whatcom,Ferndale,WA,98248,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,42,247453244,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
1FADP5CU7D,Whatcom,Ferndale,WA,98248,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,42,102299333,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
KNDPYDAHXP,Whatcom,Ferndale,WA,98248,2023,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,0,42,230256953,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
1GYKPPRL3R,Whatcom,Ferndale,WA,98248,2024,CADILLAC,LYRIQ,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,249660043,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
KM8S7DA26P,Whatcom,Ferndale,WA,98248,2023,HYUNDAI,SANTA FE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,42,252254572,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
KNDRMDLHXN,Whatcom,Ferndale,WA,98248,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,42,202985058,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
1N4BZ1CP9K,Whatcom,Ferndale,WA,98248,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,42,476662343,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
7SAYGDEE2P,Whatcom,Ferndale,WA,98248,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,244866443,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
7SAYGDEE3N,Whatcom,Ferndale,WA,98248,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,192268170,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
7SAYGDEF9N,Whatcom,Ferndale,WA,98248,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,208581691,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
WVGTMPE28M,Whatcom,Ferndale,WA,98248,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,166506777,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
5YJSA1E5XM,Whatcom,Ferndale,WA,98248,2021,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,168551603,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
7SAYGDEF1N,Whatcom,Ferndale,WA,98248,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,208741641,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
1N4AZ0CP8F,Whatcom,Ferndale,WA,98248,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,42,475525375,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
1V2WNPE80P,Whatcom,Ferndale,WA,98248,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,245505004,POINT (-122.6011039 48.85324),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073940001
KNDJX3AE4G,Whatcom,Everson,WA,98247,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,42,109412208,POINT (-122.357585 48.90942),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010702
5YJYGDEE3L,Whatcom,Everson,WA,98247,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,42,115369747,POINT (-122.357585 48.90942),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010702
7SAYGDEE9P,Whatcom,Everson,WA,98247,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,224534390,POINT (-122.357585 48.90942),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010702
5YJ3E1EAXM,Whatcom,Everson,WA,98247,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,172116108,POINT (-122.357585 48.90942),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010702
5YJSA1DP1D,Whatcom,Everson,WA,98247,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,42,166401910,POINT (-122.357585 48.90942),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010702
3C3CFFGE9G,Whatcom,Everson,WA,98247,2016,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,42,128499780,POINT (-122.357585 48.90942),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010702
1G1FW6S06P,Whatcom,Everson,WA,98247,2023,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,228193962,POINT (-122.357585 48.90942),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010702
7SAYGDEE9P,Whatcom,Everson,WA,98247,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,227529935,POINT (-122.357585 48.90942),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010702
1N4AZ0CP6G,Whatcom,Everson,WA,98247,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,42,172130381,POINT (-122.357585 48.90942),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010702
7SAYGAEE6P,Whatcom,Everson,WA,98247,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,233514578,POINT (-122.357585 48.90942),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010702
KNDJX3AE9G,Whatcom,Everson,WA,98247,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,42,259275873,POINT (-122.357585 48.90942),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010702
5YJXCBE21H,Whatcom,Everson,WA,98247,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,42,141494804,POINT (-122.357585 48.90942),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010702
1G1FX6S06H,Whatcom,Everson,WA,98247,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,42,131271654,POINT (-122.357585 48.90942),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010702
5YJ3E1EA1K,Whatcom,Everson,WA,98247,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,42,345599733,POINT (-122.357585 48.90942),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010702
7SAYGAEE1P,Whatcom,Everson,WA,98247,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,227164955,POINT (-122.357585 48.90942),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010702
JTDKARFP0H,Whatcom,Everson,WA,98247,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,42,146475829,POINT (-122.357585 48.90942),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010702
1N4AZ0CP2D,Whatcom,Everson,WA,98247,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,42,231439960,POINT (-122.357585 48.90942),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010702
3FA6P0PU3G,Whatcom,Everson,WA,98247,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,42,234014336,POINT (-122.357585 48.90942),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010701
5YJ3E1EA0L,Whatcom,Everson,WA,98247,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,42,101155029,POINT (-122.357585 48.90942),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010701
5YJ3E1EB2N,Whatcom,Everson,WA,98247,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,183059047,POINT (-122.357585 48.90942),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010701
2C4RC1N73K,Whatcom,Everson,WA,98247,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,39995,42,259763423,POINT (-122.357585 48.90942),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010701
