VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
JTDKARFP8H,Whitman,Lamont,WA,99017,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,9,349831142,POINT (-117.90409 47.201595),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53075000900
KNDCM3LD9N,Whatcom,Lummi Island,WA,98262,2022,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,42,199455805,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
WAUCJBFWXN,Whatcom,Lummi Island,WA,98262,2022,AUDI,E-TRON GT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,219287701,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
WBY1Z8C35H,Whatcom,Lummi Island,WA,98262,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,0,42,177991278,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
3FA6P0SU4H,Whatcom,Lummi Island,WA,98262,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,42,258404051,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
537LS7D49B,Whatcom,Lummi Island,WA,98262,2011,AZURE DYNAMICS,TRANSIT CONNECT ELECTRIC,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,56,0,42,190601953,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
1N4BZ1BP8L,Whatcom,Lummi Island,WA,98262,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,141813332,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
1FADP5EUXH,Whatcom,Lummi Island,WA,98262,2017,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,0,42,295821564,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
1V2GNPE82P,Whatcom,Lummi Island,WA,98262,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,227375865,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
5YJ3E1EB9K,Whatcom,Lummi Island,WA,98262,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,42,156805687,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
JTDKARFP3J,Whatcom,Lummi Island,WA,98262,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,42,136760179,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
5YJXCDE23K,Whatcom,Lummi Island,WA,98262,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,42,476454695,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
1FADP5CU5E,Whatcom,Lummi Island,WA,98262,2014,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,42,198803139,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
3FMTK3SU0P,Whatcom,Lummi Island,WA,98262,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,241423248,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
7SAYGDEE8P,Whatcom,Lummi Island,WA,98262,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,233715058,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
1FTVW1EV9P,Whatcom,Lummi Island,WA,98262,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,256034460,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
1N4AZ0CP6D,Whatcom,Lummi Island,WA,98262,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,42,128507606,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
3FMTK3SS9M,Whatcom,Lummi Island,WA,98262,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,150279055,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
1N4AZ0CP1D,Whatcom,Lummi Island,WA,98262,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,42,168441871,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
1G1RD6E42E,Whatcom,Lummi Island,WA,98262,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,42,256195649,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
YV4BC0PK1G,Whatcom,Lummi Island,WA,98262,2016,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13,0,42,108948157,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
WBY1Z4C53G,Whatcom,Lummi Island,WA,98262,2016,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,42,176285161,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
JHMZC5F34L,Whatcom,Lummi Island,WA,98262,2020,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,42,249716883,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
1N4AZ0CP4F,Whatcom,Lummi Island,WA,98262,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,42,348707684,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
WBY1Z8C32H,Whatcom,Lummi Island,WA,98262,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,0,42,177697439,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
5YJSA1H21F,Whatcom,Lummi Island,WA,98262,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,42,194742341,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
1FT6W1EV5P,Whatcom,Lummi Island,WA,98262,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,225749275,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
4JGDM2EB4P,Whatcom,Lummi Island,WA,98262,2023,MERCEDES-BENZ,EQS-CLASS SUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,42,229467598,POINT (-122.6888403 48.7199947),PUD NO 1 OF WHATCOM COUNTY,53073010900
