VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1V2WNPE87P,Yakima,Cowiche,WA,98923,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,244794525,POINT (-120.713895 46.67108),PACIFICORP,53077002900
1G1RC6S51H,Yakima,Cowiche,WA,98923,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,14,142862716,POINT (-120.713895 46.67108),PACIFICORP,53077002900
5YJ3E1EC9P,Yakima,Cowiche,WA,98923,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,245591874,POINT (-120.713895 46.67108),PACIFICORP,53077002900
5YJ3E1EB1M,Yakima,Cowiche,WA,98923,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,166114413,POINT (-120.713895 46.67108),PACIFICORP,53077002900
5YJ3E1EB8K,Yakima,Cowiche,WA,98923,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,14,9166664,POINT (-120.713895 46.67108),PACIFICORP,53077002900
1G1RA6S55H,Whitman,Colton,WA,99113,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,9,100902952,POINT (-117.12633 46.566005),AVISTA CORP,53075001000
1V2GNPE83P,Whitman,Colton,WA,99113,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,9,224387411,POINT (-117.12633 46.566005),AVISTA CORP,53075001000
KNDC4DLC7P,Whitman,Colfax,WA,99111,2023,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,9,228280272,POINT (-117.3631029 46.8783751),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53075000800
5YJXCBE2XJ,Whitman,Colfax,WA,99111,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,9,141226417,POINT (-117.3631029 46.8783751),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53075000800
3FMTK3SU1N,Whitman,Colfax,WA,99111,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,9,216615241,POINT (-117.3631029 46.8783751),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53075000800
1G1FY6S0XN,Whitman,Colfax,WA,99111,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,9,218289501,POINT (-117.3631029 46.8783751),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53075000800
JTDKARFP3J,Whitman,Colfax,WA,99111,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,9,133023523,POINT (-117.3631029 46.8783751),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53075000800
JTDKARFP7H,Whitman,Colfax,WA,99111,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,9,171557522,POINT (-117.3631029 46.8783751),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53075000800
1G1RC6S55H,Whitman,Colfax,WA,99111,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,9,210079502,POINT (-117.3631029 46.8783751),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53075000800
1G1RC6S52J,Whitman,Colfax,WA,99111,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,9,166092881,POINT (-117.3631029 46.8783751),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53075000800
5YJXCBE29G,Whitman,Colfax,WA,99111,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,9,148395922,POINT (-117.3631029 46.8783751),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53075000800
5YJ3E1EB8J,Whitman,Colfax,WA,99111,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,9,474022293,POINT (-117.3631029 46.8783751),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53075000800
KL8CL6S03F,Whitman,Colfax,WA,99111,2015,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,82,0,9,235249416,POINT (-117.3631029 46.8783751),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53075000800
