VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJSA1E22H,Yakima,Selah,WA,98942,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,15,279658963,POINT (-120.54188 46.654175),PACIFICORP,53077003400
JTMAB3FV9M,Yakima,Selah,WA,98942,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,15,181434788,POINT (-120.54188 46.654175),PACIFICORP,53077003400
JTDKARFP4J,Yakima,Selah,WA,98942,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,15,475507497,POINT (-120.54188 46.654175),PACIFICORP,53077003400
5YJSA1H29E,Yakima,Selah,WA,98942,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,15,122190463,POINT (-120.54188 46.654175),PACIFICORP,53077003400
7SAYGDEE7N,Yakima,Selah,WA,98942,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,186847244,POINT (-120.54188 46.654175),PACIFICORP,53077003400
5YJ3E1EB3J,Yakima,Selah,WA,98942,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,15,202912454,POINT (-120.54188 46.654175),PACIFICORP,53077003400
WBA7J2C58J,Yakima,Selah,WA,98942,2018,BMW,740E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,90700,15,179548379,POINT (-120.54188 46.654175),PACIFICORP,53077003400
WVWKP7AU1G,Yakima,Selah,WA,98942,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83,0,15,117117773,POINT (-120.54188 46.654175),PACIFICORP,53077003400
5YJSA1E20H,Yakima,Selah,WA,98942,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,15,348359546,POINT (-120.54188 46.654175),PACIFICORP,53077003400
3FMTK4SE4P,Yakima,Selah,WA,98942,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,252198026,POINT (-120.54188 46.654175),PACIFICORP,53077003400
5YJSA1E68M,Yakima,Selah,WA,98942,2021,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,179246672,POINT (-120.54188 46.654175),PACIFICORP,53077003400
5YJ3E1EC8N,Yakima,Selah,WA,98942,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,220386176,POINT (-120.54188 46.654175),PACIFICORP,53077003400
5YJ3E1EB0J,Yakima,Selah,WA,98942,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,15,477055421,POINT (-120.54188 46.654175),PACIFICORP,53077003400
5YJ3E1EBXM,Yakima,Selah,WA,98942,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,228731289,POINT (-120.54188 46.654175),PACIFICORP,53077003400
5YJ3E1EB2J,Yakima,Selah,WA,98942,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,15,339461762,POINT (-120.54188 46.654175),PACIFICORP,53077003400
5YJ3E1EB8K,Yakima,Selah,WA,98942,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,15,207120112,POINT (-120.54188 46.654175),PACIFICORP,53077003400
JTMABACA7P,Yakima,Selah,WA,98942,2023,TOYOTA,BZ4X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,233721491,POINT (-120.54188 46.654175),PACIFICORP,53077003400
7SAYGDEE2N,Yakima,Selah,WA,98942,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,200544333,POINT (-120.54188 46.654175),PACIFICORP,53077003400
1FADP3R46D,Yakima,Selah,WA,98942,2013,FORD,FOCUS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,76,0,15,221233442,POINT (-120.54188 46.654175),PACIFICORP,53077003400
