VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EB8J,Walla Walla,Burbank,WA,99323,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,16,469523232,POINT (-119.0127002 46.1971863),"BONNEVILLE POWER ADMINISTRATION||COLUMBIA RURAL ELEC ASSN, INC",53071920000
1FADP5FU8H,Walla Walla,Burbank,WA,99323,2017,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,0,16,144148168,POINT (-119.0127002 46.1971863),"BONNEVILLE POWER ADMINISTRATION||COLUMBIA RURAL ELEC ASSN, INC",53071920000
7SAYGDEE1N,Walla Walla,Burbank,WA,99323,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,16,192909741,POINT (-119.0127002 46.1971863),"BONNEVILLE POWER ADMINISTRATION||COLUMBIA RURAL ELEC ASSN, INC",53071920000
JTDKARFP1H,Walla Walla,Burbank,WA,99323,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,16,154784444,POINT (-119.0127002 46.1971863),"BONNEVILLE POWER ADMINISTRATION||COLUMBIA RURAL ELEC ASSN, INC",53071920000
5YJ3E1EC9P,Walla Walla,Burbank,WA,99323,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,16,219727413,POINT (-119.0127002 46.1971863),"BONNEVILLE POWER ADMINISTRATION||COLUMBIA RURAL ELEC ASSN, INC",53071920000
1FADP3R41E,Walla Walla,Burbank,WA,99323,2014,FORD,FOCUS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,76,0,16,184718845,POINT (-119.0127002 46.1971863),"BONNEVILLE POWER ADMINISTRATION||COLUMBIA RURAL ELEC ASSN, INC",53071920000
JTDKARFP0H,Walla Walla,Burbank,WA,99323,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,16,161004672,POINT (-119.0127002 46.1971863),"BONNEVILLE POWER ADMINISTRATION||COLUMBIA RURAL ELEC ASSN, INC",53071920000
1G1FX6S09J,Walla Walla,Burbank,WA,99323,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,16,246820892,POINT (-119.0127002 46.1971863),"BONNEVILLE POWER ADMINISTRATION||COLUMBIA RURAL ELEC ASSN, INC",53071920000
1G1FX6S08H,Walla Walla,Burbank,WA,99323,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,16,109582364,POINT (-119.0127002 46.1971863),"BONNEVILLE POWER ADMINISTRATION||COLUMBIA RURAL ELEC ASSN, INC",53071920000
2C4RC1N79J,Walla Walla,Burbank,WA,99323,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,16,226107458,POINT (-119.0127002 46.1971863),"BONNEVILLE POWER ADMINISTRATION||COLUMBIA RURAL ELEC ASSN, INC",53071920000
5YJYGDEF7M,Walla Walla,Burbank,WA,99323,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,16,156833281,POINT (-119.0127002 46.1971863),"BONNEVILLE POWER ADMINISTRATION||COLUMBIA RURAL ELEC ASSN, INC",53071920000
1N4AZ0CP3D,Thurston,Bucoda,WA,98530,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,20,106785206,POINT (-122.872497218 46.794825),PUGET SOUND ENERGY INC,53067012620
7PDSGABA1P,Snohomish,Bothell,WA,98012,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,251939754,POINT (-122.1876761 47.820517),PUGET SOUND ENERGY INC,53061052122
5YJSA4H48F,Snohomish,Bothell,WA,98012,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,1,117466884,POINT (-122.1876761 47.820517),PUGET SOUND ENERGY INC,53061052122
7FCTGAAL2N,Snohomish,Bothell,WA,98012,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,213472514,POINT (-122.1876761 47.820517),PUGET SOUND ENERGY INC,53061052114
1FTBW9CK3P,Snohomish,Bothell,WA,98012,2023,FORD,TRANSIT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,241603022,POINT (-122.1876761 47.820517),PUGET SOUND ENERGY INC,53061052114
5YJ3E1EB9L,Snohomish,Bothell,WA,98012,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,1,2110643,POINT (-122.1876761 47.820517),PUGET SOUND ENERGY INC,53061052114
